Listing Title (Required),Listing SEO Title,Listing Email,Listing URL,Listing Address,Listing Address2,Listing Country,Listing Country Abbreviation,Listing Region,Listing Region Abbreviation,Listing State,Listing State Abbreviation,Listing City,Listing City Abbreviation,Listing Neighborhood,Listing Neighborhood Abbreviation,Listing Postal Code,Listing Latitude,Listing Longitude,Listing Phone,Listing Fax,Listing Short Description,Listing Long Description,Listing SEO Description,Listing Keywords,Listing Renewal Date,Listing Status,Listing Level,Listing Category 1,Listing Category 2,Listing Category 3,Listing Category 4,Listing Category 5,Listing Template,Listing DB Id,Custom ID,Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Fax,Account Contact Email,Account Contact URL
Swansea School of Dance,Swansea School of Dance,info@swanseaschoolofdance.com,http://www.swanseaschoolofdance.com/,"356 Windermere Ave, Toronto, ON ",,,,,,,,,,,,M6S 3L3,43.648781,-79.480081,(416) 767-2842,,,,,,,active,gold,Ballet,Early dance,Acro,Kids & Teens,Jazz,,176,,,,,,,,,,,,,,,,
Shall We Dance,Shall We Dance,info@shallwedance.ca,http://www.shallwedance.ca/,"511 McNicoll Ave, North York, ON ",,,,,,,,,,,,M2H 2C9,43.803652,-79.339394,(416) 502-2333,,,,,,,active,gold,Adults,Parties,Wedding dance lessons,Private lessons,Salsa,,177,,,,,,,,,,,,,,,,
School of Canadian Contemporary Dance Theatre,School of Canadian Contemporary Dance Theatre,info@ccdt.org,http://www.ccdt.org/,"509 Parliament St, Toronto, ON ",,,,,,,,,,,,M4X 1P3,43.665091,-79.367973,(416) 924-5657,,,,,,,active,gold,Adults,Ballet,Contemporary,Creative,Hip Hop,Listing,178,,,,,,,,,,,,,,,,
Salsa Bachata Dance Lessons.Ca,Salsa Bachata Dance Lessons.Ca,,http://www.salsabachatadancelessons.ca/,"3 Clayton Drive Markham, ON",,,,,,,,,,,,L3R 8N3,43.828143,-79.308696,(416) 804-5030,,,,,,,active,gold,Salsa,Social dance,,,,,179,,,,,,,,,,,,,,,,
Simply Swagg Dance Studio,Simply Swagg Dance Studio,,http://www.simplyswagg.com/,"705 Progress Ave, Scarborough, ON ",,,,,,,,,,,,M1H 2X1,43.778096,-79.246548,(647) 296-7776,,,,,,,active,gold,Kids & Teens,Hip Hop,House,Krump,Adults,,180,,,,,,,,,,,,,,,,
Salsa For Singles,Salsa For Singles,,,"995 Broadview Ave, East York, ON ",,,,,,,,,,,,M4K 2S1,43.683963,-79.356907,,,,,,,,active,gold,Salsa,,,,,,181,,,,,,,,,,,,,,,,
Salsa For Charity Salsa Dance School,Salsa For Charity Salsa Dance School,,,"212 Adelaide St W, Toronto, ON ",,,,,,,,,,,,M5H 1W7,43.648633,-79.387520,(416) 999-2495,,,,,,,active,gold,,,,,,,182,,,,,,,,,,,,,,,,
Turning Pointe Academy,Turning Pointe Academy,reception@turningpointe.ca,http://turningpointe.ca/,"105 Vanderhoof Ave, East York, ON ",,,,,,,,,,,,M4G 2H7,43.711886,-79.360336,(416) 696-7466,,,,,,,active,gold,Ballet,Tap,Jazz,Kids & Teens,Dance Camps,,183,,,,,,,,,,,,,,,,
Tha Spot Dance Centre,Tha Spot Dance Centre,info@thaspotdancecentre.com,http://www.thaspotdancecentre.com/,"130 Industry St, North York, ON ",,,,,,,,,,,,M6M 5G3,43.694822,-79.494919,(416) 516-3041,,,,,,,active,gold,Birthday party,Rentals,Competition,Jazz,Kids & Teens,,184,,,,,,,,,,,,,,,,
Tandem Dance And Fitness Studios Inc,Tandem Dance And Fitness Studios Inc,info@tandemstudiostoronto.com,https://tandemstudiostoronto.com/,"3300 Yonge St, Toronto, ON ",,,,,,,,,,,,M4N 2L6,43.730593,-79.403812,(647) 348-4953,,,,,,,active,gold,Ballet,Acro,Broadway,Early dance,Hip Hop,,185,,,,,,,,,,,,,,,,
The School Of Toronto City Ballet,The School Of Toronto City Ballet,,,"3390 Midland Ave, Toronto, ON ",,,,,,,,,,,,M1V 5K3,43.809929,-79.290804,(416) 291-0119,,,,,,,active,gold,Ballet,Kids & Teens,,,,,186,,,,,,,,,,,,,,,,
Vivace Studios,Vivace Studios,info@vivacestudios.ca,http://www.vivacestudios.ca/,"291A Jane St, Toronto, ON ",,,,,,,,,,,,M6S 3Z3,43.656363,-79.486954,(416) 762-9100,,,,,,,active,gold,Belly dance,Workshop,,,,,187,,,,,,,,,,,,,,,,
York School of Dance,York School of Dance,info@yorkschoolofdance.com,http://www.yorkschoolofdance.com/home.aspx,"100 Old Orchard Grove, Toronto, ON ",,,,,,,,,,,,M5M 2E2,43.734110,-79.409086,(416) 910-3544,,,,,,,active,gold,Acro,Ballet,Hip Hop,Jazz,Tap,,188,,,,,,,,,,,,,,,,
Yavir School Of Ukrainian Dance,Yavir School Of Ukrainian Dance,yavir@bellnet.ca,http://yavir.ca/,"125 La Rose Ave, Etobicoke, ON ",,,,,,,,,,,,M9P 1A6,43.685245,-79.522465,(416) 243-3072,,,,,,,active,gold,National dance -> Ukrainian,,,,,,189,,,,,,,,,,,,,,,,
Arthur Murray,Arthur Murray,mississaugaarthurmurray@gmail.com,http://www.mississaugaarthurmurray.com/,"25 Watline Ave, Mississauga, ON",,,,,,,,,,,, L4Z 2Z1,43.621836,-79.672543,(905) 507-1921,,,,,,,active,gold,Wedding dance lessons,Social dance,Cha-cha-cha,Ballroom,Tango,,191,,,,,,,,,,,,,,,,
Moon Moo Life Group Inc,Moon Moo Life Group Inc,info@moonmoolife.com,http://www.moonmoolife.com,"688 Denison St, Markham, ON ",,,,,,,,,,,,L3R 1C1,43.824812,-79.338988,(647) 832-8955,,,,,,,active,gold,Kids & Teens,Adults,Hip Hop,Latin,,,192,,,,,,,,,,,,,,,,
Persian Dance School Inc,Persian Dance School Inc,info@persiandanceschool.com,http://www.persiandanceschool.com/pds/,"30 Vogell Rd, Richmond Hill, ON",,,,,,,,,,,,L4B 3K6,43.866486,-79.382903,(647) 346-0111,,,,,,,active,gold,National dance -> Persian,Adults,Kids & Teens,,,,193,,,,,,,,,,,,,,,,
Nine Dance Academy,Nine Dance Academy,office@theninedance.com,http://www.theninedance.com/,"2077 Rutherford Vaughan, ON L4K5T6",,,,,,,,,,,,L4K 5T6,43.837392,-79.501965,(905) 832-9992,,,,,,,active,gold,Acro,Ballet,Jazz,Hip Hop,Tap,,194,,,,,,,,,,,,,,,,
The Dance Corps,The Dance Corps,info@thedancecorps.net,http://www.thedancecorps.net/,"5285 Tomken Rd, Mississauga, ON ",,,,,,,,,,,,L4W 3N8,43.631852,-79.638743,(905) 212-7117,,,,,,,active,gold,Acro,Ballet,Competition,Hip Hop,Jazz,,195,,,,,,,,,,,,,,,,
Theatre Dance Academy,Theatre Dance Academy,theatredanceacademy@bellnet.ca,http://theatredanceacademy.com/#,,,,,,,,,,,,,,,,(905) 435-0762,,,,,,,active,gold,Kids & Teens,Acro,Tap,Hip Hop,Jazz,,196,,,,,,,,,,,,,,,,
Aradia Fitness,Aradia Fitness,mississauga@aradiafitness.com,http://mississauga.aradiafitness.com,"2283 Argentia Road Mississauga, ON",Unit 12,,,,,,,,,,, L5N 5Z2,43.598443,-79.747189, (905) 203-1980,,,,,pole dance || pole || adults dance,,active,gold,Pole,Hoop dance,Parties,Adults,,,197,,,,,,,,,,,,,,,,
HH DANCE & FITNESS,HH DANCE & FITNESS,info@hhdance.com,http://www.hhdance.com,"7310 Woodbine Ave., Markham, ON",Unit 7A,,,,,,,,,,,L3R 1A4,43.821398,-79.351528,(416) 721-5226,,,,,Toronto salsa || bachata || salsa || ontario dance classes,,active,gold,Ballroom,Adults,Salsa,Rumba,Waltz,,199,,,,,,,,,,,,,,,,
Barre Nouvelle,Barre Nouvelle,info@barrenouvelle.com,http://www.barrenouvelle.com/,"140 La Rose Avenue, Toronto, ON ",Unit 201,,,,,,,,,,,M9P 1B2,43.685596,-79.523730,(416)245-7070,,,,,,,active,gold,Ballet,Adults,Creative,Kids & Teens,,,200,,,,,,,,,,,,,,,,
Toronto West Coast Swing,Toronto West Coast Swing,julie@towestcoast.com,http://towestcoast.com/,"805 Dovercourt Rd, Toronto, ON ",,,,,,,,,,,,M6H 2X4,43.662778,-79.429509,(416) 920-0394,,,,,,,active,gold,Adults,Blues,R&B,Social dance,Swing,,201,,,,,,,,,,,,,,,,
TORONTO Tango Club,TORONTO Tango Club,,http://www.lacachila.com,"805 Dovercourt Rd, Toronto, ON ",3-Rd Floor,,,,,,,,,,,M6H 2X4,43.662778,-79.429509,(416)769-3348,,,,,,,active,gold,Tango,Social dance,,,,,202,,,,,,,,,,,,,,,,
MAD for DANCE,MAD for DANCE,info@madfordance.ca,http://www.madfordance.ca/mad-for-dance.html,"228 Merton St, Toronto, ON",2nd Floor,,,,,,,,,,,M4S 1A1,43.697602,-79.389227,(647) 527-6915,,,,,Toronto dance classes || danceevents || toronto ballroom || Toronto latin,,active,gold,Ballroom,Swing,Private lessons,Latin,,,203,,,,,,,,,,,,,,,,
EveryBodyDance,EveryBodyDance,henryhwai@gmail.com,https://everybodydanceyes.wordpress.com/,"805 Dovercourt Rd, Toronto, ON ",3 rd Floor,,,,,,,,,,,M6H 2X4,43.662778,-79.429509,,,,,,,,active,gold,Ecstatic Dance,Jam,,,,,204,,,,,,,,,,,,,,,,
2 Step Bhangra Dance Academy,2 Step Bhangra Dance Academy,,,"80 Nashdene Road Unit 216,  Markham, ON",,,,,,,,,,,,M1X 1L6,43.820217,-79.246185,(647) 705-9040,,,,,,,active,gold,Adults,Kids & Teens,National dance -> Indian,,,,205,,,,,,,,,,,,,,,,
Steps Dance Studio,Steps Dance Studio,info@stepsdancestudio.com,http://stepsdancestudio.com/,"819 Yonge Street, Toronto, ON ",3-rd floor,,,,,,,,,,,M4W 2G9,43.672606,-79.387482,(416) 656-7837,,,,,,,active,gold,Adults,Bachata,Hustle,Jazz,Kids & Teens,,206,,,,,,,,,,,,,,,,
BALIA SALSA SOCIETYY,BALIA SALSA SOCIETYY,ROCK17@LIVE.CA,https://woodbridgesalsa.com/,"427 Bloor Street West, Toronto ON ",,,,,,,,,,,,M5S1X7,43.666232,-79.405867,(647) 400-5052 ,,,,,,,active,gold,Bachata,Salsa,Private lessons,,,,207,,,,,,,,,,,,,,,,
DeVoy Academy of Irish Dance,DeVoy Academy of Irish Dance,,http://devoyacademy.com/,"1660 Avenue Road Toronto, ON",,,,,,,,,,,,M5M 3X9,43.726462,-79.417695,(647) 637-8660,,,,,,,active,gold,National dance -> Irish,,,,,,208,,,,,,,,,,,,,,,,
HiP KiK,HiP KiK,hipkik@rogers.com,http://hipkik.com/,"1485 Dupont Street,  , Toronto, ON",Unit 306,,,,,,,,,,,M6P 3S2,43.665823,-79.450227,(647) 892-5171,,,,,bellydance || performance bellydance || belly dance || performance belly dance,,active,gold,Belly dance,Performances,,,,,209,,,,,,,,,,,,,,,,
Inspiracion Latina Dance,Inspiracion Latina Dance,info@inspiracionlatina.com,http://www.inspiracionlatina.com/,,,,,,,,,,,,,,,,(647) 558-2726,,,,,,,active,gold,Belly dance,Performances,Salsa,Samba,Parents & Kids,,210,,,,,,,,,,,,,,,,
Salsa Boom Boom,Salsa Boom Boom,,,"427 Bloor Street W., Toronto, ON ",,,,,,,,,,,,M5S 1X6,43.666023,-79.405681,(647) 886-8972,,,,,cha-cha || salsa classes || bachata classes,,active,gold,Bachata,Cha-cha-cha,Merengue,Salsa,,,211,,,,,,,,,,,,,,,,
Salsaholics Anonymous,Salsaholics Anonymous,salsaholicsTO@gmail.com,http://www.salsaholics.ca/,"427 Bloor St West, Toronto, ON",The gymnasium Trinity St. Paul\'s Church,,,,,,,,,,,M5S 1X6,43.666023,-79.405681,(416) 655-2224,,,,,salsa classes || salsa Toronto,,active,gold,Salsa,,,,,,212,,,,,,,,,,,,,,,,
Swing & Sway,Swing & Sway,info@swingandsway.ca,http://swingandsway.ca/,"245 W Beaver Creek Rd., Richmond Hill, ON ",Unit 5A ,,,,,,,,,,,L4B 1L6,43.845809,-79.386284,(416) 856-1933,,,,,,,active,gold,Salsa,Latin,Private lessons,Social dance,,,213,,,,,,,,,,,,,,,,
In Harmony Dance,In Harmony Dance,inharmonyadmin@gmail.com,http://www.inharmonydance.ca/,"1220 Stellar Dr, Newmarket, ON",Unit 200 ,,,,,,,,,,,L3Y 7B8,44.076972,-79.427045,(905) 898-6229,,,,,kids dance classes || kids dance lessons,,active,gold,Kids & Teens,Dance Camps,Competition,Birthday party,Ballet,,214,,,,,,,,,,,,,,,,
Conscious Dance,Conscious Dance,info@consciousdance.ca,http://consciousdance.ca/,"80 Gladstone Ave, Toronto, ON ",,,,,,,,,,,,M6J 3K7,43.645015,-79.428362,,,,,,,,active,gold,Ecstatic Dance,Social dance,,,,,215,,,,,,,,,,,,,,,,
Dansecore,Dansecore,contact@dansecore.com,http://www.dansecore.com/,"14 Oxford St, Richmond Hill, ON ",Units 204-6-8,,,,,,,,,,,L4C 4L5,43.887255,-79.442612,(905) 508- 5580,,,,,,,active,gold,Ballet,Modern,Tap,Jazz,Hip Hop,,216,,,,,,,,,,,,,,,,
Alice Kwong School Of Dance,Alice Kwong School Of Dance,admin@alicekwongschoolofdance.com,http://www.alicekwongschoolofdance.com/,"22 Esna Park Drive, Markham, ON",,,,,,,,,,,, L3R 1E1,43.826588,-79.347156,(905) 881-1762,,,,,,,active,gold,Ballet,Pointe,Jazz,Tap,,,217,,,,,,,,,,,,,,,,
Danceland Studio,Danceland Studio,info@dancelandstudio.com,http://dancelandstudio.com/,"57 Newkirk Rd, Richmond Hill, ON ",,,,,,,,,,,,L4C 1A9 ,43.879646,-79.425886,(416) 856-2138,,,,,,,active,gold,Ballet,Adults,Hip Hop,Jazz,Kids & Teens,,218,,,,,,,,,,,,,,,,
Dance Sensation,Dance Sensation,info@dancesensation.ca,http://www.dancesensation.ca/,"55 West Beaver Creek Road Richmond Hill, ON ",Unit 19,,,,,,,,,,,L4B 1K5,43.854671,-79.391388,(905) 731-8830,,,,,,,active,gold,Competition,Hip Hop,Jazz,Tap,Lyrical,,219,,,,,,,,,,,,,,,,
Karpov Ballet Acadamy,Karpov Ballet Acadamy,,http://karpovballetacademy.ca/,"1455 16th Avenue, Richmond Hill, ON, ",Unit 6,,,,,,,,,,,L4B 4W5 ,43.861237,-79.388391,(289) 597-5077,,,,,,,active,gold,Ballet,Kids & Teens,Private lessons,Performances,,,220,,,,,,,,,,,,,,,,
Vlad\'s Dance Company,Vlad\'s Dance Company,vdc@rogers.com,http://vladsdance.com/,"565 Edward Ave, Richmond Hill, ON ",,,,,,,,,,,,L4C 9W8 ,43.898812,-79.428521,(905) 737-6446,,,,,,,active,gold,Ballet,Jazz,Competition,Early dance,Contemporary,,221,,,,,,,,,,,,,,,,
Dancetastic Studio Inc,Dancetastic Studio Inc,lori@dancetastic.ca,http://dancetastic.ca/,"6 Scott Drive, Richmond Hill, ON",Suite 202,,,,,,,,,,,L4C 6V6,43.846621,-79.432456,(905) 709-6092,,,,,,,active,gold,Acro,Ballet,Early dance,Hip Hop,Jazz,,222,,,,,,,,,,,,,,,,
Maple Academy Of Dance,Maple Academy Of Dance,mapleacademy1@bellnet.ca,http://www.mapleacademyofdance.com/,"255 Bass Pro Mills Drive,  Vaughan, ON  ",Unit 504,,,,,,,,,,,L4K 0A2,43.821904,-79.540631,(905) 660-6800,,,"Established since 1998 ~ We are proud to be celebrating 19 years of dance education in the City of Vaughan and the recipients of Vaughan Today’s Best Dance Academy and Best Business in Vaughan. We offer classes at Recreational and Competitive Levels.  Dance classes are offered in Jazz, Tap, Ballet, Acrobatics, Hip Hop and Musical Theatre. All students participate in our Year End Show held at the Living Arts Centre. We also offer Summer Camps, Intensives, P.A. Day Camps, March Break Camps, Birthday Parties and Private Lessons.We take pride in individuality and bringing out the best in each and every student at our Academy. We are confident that every student will have an enjoyable and successful season!",,,,active,gold,Ballet,Birthday party,Competition,Dance Camps,Early dance,,223,,,,,,,,,,,,,,,,
York Dance Academy,York Dance Academy,info@yorkdance.com,http://www.yorkdance.com/,"305 Industrial Pky S, Aurora, ON ",,,,,,,,,,,,L4G 6X7 ,43.986951,-79.453822,(905) 726-1241,,,"The York Dance Academy was founded in 1986 and has since become one of the foremost dance studios in York Region, offering programming for dancers aged 3 years to adult. Our professional staff will inspire, motivate and challenge students of every age and level.  Our goal is to enable dancers to achieve their fullest potential as artists, leaders and global citizens in a fun and friendly atmosphere.We are dedicated to providing the highest calibre of dance & fitness education for students in a variety of disciplines including, Ballet, Jazz, Tap, Lyrical, Acro, Hip Hop, Musical Theatre, Ballroom and Salsa.  In addition to our recreational and competitive programs, we also offer a professional teacher training program for those who wish to pursue a career in dance.",,,,active,gold,Acro,Ballet,Hip Hop,Jazz,Kids & Teens,,224,,,,,,,,,,,,,,,,
Victoria Ballet Academy,Victoria Ballet Academy,info@victoriaballet.com,http://www.victoriaballet.com/,"7 Bradwick Drive, Vaughan, ON",,,,,,,,,,,, L4K 2T4,43.817869,-79.482299, (905) 707-7580,,,,,,,active,gold,Adults,Ballet,Kids & Teens,Dance Camps,Rentals,,225,,,,,,,,,,,,,,,,
C B Dance Academy,C B Dance Academy,info@cbdance.ca,http://www.cbdance.ca/,"70 Newkirk Road, Richmond Hill, ON, ",,,,,,,,,,,,L4C 3G3,43.880027,-79.428165,(905) 884-8850,,,,,,,active,gold,Acro,Adults,Competition,Contemporary,Hip Hop,,226,,,,,,,,,,,,,,,,
Egyptian Goddess Studios,Egyptian Goddess Studios,,,"37 Woodstone Ave, Richmond Hill, ON ",,,,,,,,,,,,L4S 1H3,43.906710,-79.439243,(905) 967-2571,,,,,,,active,gold,,,,,,,227,,,,,,,,,,,,,,,,
Jcb Danceworks,Jcb Danceworks,info@jcbdanceworks.com,http://jcbdanceworks.com/,"10815 Bathurst St, Richmond Hill, ON",,,,,,,,,,,,L4C 9Y2,43.885243,-79.466526,(905) 737-6549,,,,,,,active,gold,Ballet,Pointe,Competition,Acro,Musical,,228,,,,,,,,,,,,,,,,
Norman Dance Company,Norman Dance Company,normandance@yahoo.com,http://www.normandance.com,"155 East Beaver Creek Road, Richmond Hill, ON",Unit 2 ,,,,,,,,,,,L4B 2N1 ,43.849123,-79.378200,905-707-1346,,,,,,,active,gold,National dance -> Chinese,,,,,,229,,,,,,,,,,,,,,,,
Dance Art Studio,Dance Art Studio,info@danceart.ca,http://danceart.ca,"10 East Wilmot Street, Richmond Hill, ON",,,,,,,,,,,,L4B 1G9,43.853561,-79.383622,(416) 878-4443,,,,,,,active,gold,Adults,Ballroom,Salsa,Wedding dance lessons,Kids & Teens,Listing,230,,,,,,,,,,,,,,,,
Soul In Motion Dance Art,Soul In Motion Dance Art,,http://soulinmotiondance.com/,"588 Edward Ave., Richmond Hill, ON",Unit 36-37 ,,,,,,,,,,,L4C 9Y6,43.897538,-79.430612,(905) 770-6183,,,,,,,active,gold,Acro,Ballet,Competition,Hip Hop,Jazz,,231,,,,,,,,,,,,,,,,
Evolution Dance Studio,Evolution Dance Studio,info@evolutionstudio.ca,http://evolutionstudio.ca/,"10557 Keele St., Maple, ON",Unit 3 ,,,,,,,,,,,L6A 0J5,43.869823,-79.515114,(905) 879-3900,,,,,,,active,gold,Birthday party,Competition,Dance Camps,Kids & Teens,Private lessons,,232,,,,,,,,,,,,,,,,
Twist Dance Academy,Twist Dance Academy,INFO@TWISTDANCE.CA,http://www.twistdance.ca/,"20 Cranston Park Ave, Maple, ON ",,,,,,,,,,,,L6A 2W2,43.858483,-79.524567,(905) 553-5559,,,,,,,active,gold,Acro,Ballet,Hip Hop,Jazz,Kids & Teens,,233,,,,,,,,,,,,,,,,
Georgia\'s Dance & Arts Cultural Centre,Georgia\'s Dance & Arts Cultural Centre,info@gdnadance.com,http://www.gdnadance.com,"280 Yorktech Drive  Markham, ON",Unit 12,,,,,,,,,,, L6G 0A6,43.846183,-79.349913,(905) 477-4362,,,,,,,active,gold,Jazz,National dance -> Chinese,Performances,,,,234,,,,,,,,,,,,,,,,
Nine Dance Academy Inc,Nine Dance Academy Inc,office@theninedance.com,http://www.theninedance.com/,"2077 Rutherford, Vaughan, ON  ",,,,,,,,,,,,L4K 5T6,43.837392,-79.501965,(905) 832-9992,,,,,,,active,gold,Dance Camps,Competition,Hip Hop,Jazz,Kids & Teens,,235,,,,,,,,,,,,,,,,
Energy Dance Arts,Energy Dance Arts,info@energydancearts.com,http://www.energydancearts.com/,"2535 Major Mackenzie Drive, Maple, ON",Unit 10a ,,,,,,,,,,,L6A 1C6,43.852234,-79.521174,(905) 879-8777,,,,,,,active,gold,Acro,Ballet,Birthday party,Competition,Dance Camps,,236,,,,,,,,,,,,,,,,
Allegro Dance School,Allegro Dance School,allegrodance5@gmail.com,http://www.allegrodanceschool.com/,"8403 Yonge St., Thornhill, ON",Suite #201,,,,,,,,,,,L3T 6R2,43.832184,-79.427446,(905) 889-9799 ,,,,,,,active,gold,Ballet,Adults,Jazz,Kids & Teens,Tap,,237,,,,,,,,,,,,,,,,
Dance With Mara,Dance With Mara,morrico@sympatico.ca,http://www.dancewithmara.ca,"131 Whitmore Rd, Woodbridge, ON ",,,,,,,,,,,,L4L 6E4,43.785606,-79.554941,(905) 856-1338,,,,,,,active,gold,Adults,Acro,Ballet,Break dance,Jazz,,238,,,,,,,,,,,,,,,,
CM Cha Cha Cha Dance Studio,CM Cha Cha Cha Dance Studio,cmchachacha@yahoo.ca,http://www.cmchachacha.com/,"90B Centurian Drive, Markham, ON",Unit 8,,,,,,,,,,,L3R 8C1,43.852147,-79.364567,(905) 475-6899,,,,,,,active,gold,Ballroom,Latin,Social dance,Salsa,Waltz,,239,,,,,,,,,,,,,,,,
The Dance Institute,The Dance Institute,tdidanceinstitute@gmail.com,http://www.thedanceinstitute.ca,"60 Spy Court, Markham, ON",,,,,,,,,,,,L3R 5H6,43.856274,-79.356234,(905) 472-4443,,,,,,,active,gold,Ballet,Contemporary,Competition,Jazz,Hip Hop,,240,,,,,,,,,,,,,,,,
Master Dance Academy,Master Dance Academy,info@masterdanceacademy.com,http://masterdanceacademy.com/,"205 Champagne Dr, North York, ON ",,,,,,,,,,,,M3J 2C6,43.765673,-79.470934,(647) 969-3100,,,,,,,active,gold,Acro,Adults,Ballet,Break dance,Hip Hop,,241,,,,,,,,,,,,,,,,
Dance With Us,Dance With Us,info@dancewithus.ca,http://www.dancelessons.ca/,"7883 Keele Street, Concord, ON ",,,,,,,,,,,,L4K 4G7 ,43.802896,-79.499754,(416) 221-3881,,,,,,,active,gold,Adults,Ballroom,Club dance,Competition,Kids & Teens,,242,,,,,,,,,,,,,,,,
Academy of Ballet and Jazz,Academy of Ballet and Jazz,canadiaballettheatre@rogers.com,http://www.academyofballetandjazz.ca/,"34 Doncaster Ave, Thornhill, ON ",,,,,,,,,,,,L3T 2W4,43.803752,-79.417865,(905) 886-0455,,,,,,,active,gold,Ballet,Kids & Teens,Pointe,Jazz,Lyrical,,243,,,,,,,,,,,,,,,,
Grand Dance Studio Inc,Grand Dance Studio Inc,,http://granddance.ca/,"34 Doncaster Ave, Thornhill, ON",Unit 6 ,,,,,,,,,,,  L3T 4S1,43.803752,-79.417865,(905) 771-0008,,,,,,,active,gold,Adults,Ballroom,Kids & Teens,Private lessons,Social dance,,244,,,,,,,,,,,,,,,,
Cardinal\'s Viva Dance,Cardinal\'s Viva Dance,tanya@vivadance.ca,http://vivadance.ca/,"180 Yorkland Blvd, North York",,,,,,,,,,,,M2J 1R5,43.771195,-79.334858, (416) 993-1319,,,,,,,active,gold,Latin,Private lessons,,,,,245,,,,,,,,,,,,,,,,
Wonderland Dance Company,Wonderland Dance Company,marie@wonderlanddance.ca,http://www.wonderlanddance.ca/#top,"300 John Street,  Thornhill, ON ",Suite 200,,,,,,,,,,,L3T 5W4,43.820571,-79.398720,(289) 597-5253,,,,,,,active,gold,Adults,Kids & Teens,,,,,246,,,,,,,,,,,,,,,,
Swing and Sway,Swing and Sway,,http://swingandsway.ca/,"245 West Beaver Creek Rd, Richmond Hill, ON",,,,,,,,,,,, L4B 1L1,43.845809,-79.386284,(416) 856-1933,,,,,,,active,gold,Social dance,Latin,Salsa,,,,247,,,,,,,,,,,,,,,,
Dance Mania,Dance Mania,igornikon.dm@gmail.com,http://www.dancemaniaschool.com,"245 West Beaver Creek Rd, Richmond Hill, ON ",,,,,,,,,,,,L4B 1L1 ,43.845809,-79.386284,(905) 695-0173,,,,,,,active,gold,Adults,Kids & Teens,Latin,Competition,Ballroom,,248,,,,,,,,,,,,,,,,
Nakisa Dance Academy,Nakisa Dance Academy,info@nakisadanceacademy.com,http://www.nakisadanceacademy.com/,"160 East Beaver Creek,  Richmond Hill, ON",Unit # 14,,,,,,,,,,, L4B 3J6,43.848828,-79.376135,(905) 886- 4545,,"At Nakisa Dance Academy, our goal is to make dance an enjoyable activity for all age groups and skill levels. We believe in order to achieve this goal it is important to provide a comfortable, warm and fun environment to allow for dancers to express ",,"At Nakisa Dance Academy, our goal is to make dance an enjoyable activity for all age groups and skill levels. We believe in order to achieve this goal it is important to provide a comfortable, warm and fun environment to allow for dancers to express ",,,active,gold,Adults,Belly dance,Kids & Teens,National dance -> Persian,Bollywood,,249,,,,,,,,,,,,,,,,
IV Dance Academy,IV Dance Academy,info@ivdanceacademy.ca,http://www.ivdanceacademy.ca/,"386 Deerhurst Dr, Brampton, ON ",,,,,,,,,,,,L6T 5H9,43.747898,-79.673869,(905) 790-7950,,,,,,,active,gold,Kids & Teens,Tap,Dance Camps,Ballet,Acro,,250,,,,,,,,,,,,,,,,
Tha Spot Dance Centre,Tha Spot Dance Centre,info@thaspotdancecentre.com,http://www.thaspotdancecentre.com/index.html,"130 Industry Street, North York, ON",,,,,,,,,,,, M6M 5G3,43.694822,-79.494919,(416) 516-3041,,,,,,,active,gold,Birthday party,Competition,Lyrical,Jazz,Tap,,252,,,,,,,,,,,,,,,,
Jessica\'s Dance Innovations,Jessica\'s Dance Innovations,jessdanc@jessdanceinn.ca,http://www.jessdanceinn.ca/,"2500 Williams Pky, Brampton, ON ",,,,,,,,,,,,L6S 5M9,43.759309,-79.703826,(905) 494-1411,,,,,,,active,gold,Acro,Ballet,Jazz,Kids & Teens,Hip Hop,,253,,,,,,,,,,,,,,,,
Elegance Ballet Studio,Elegance Ballet Studio,info@eleganceballet.com,http://www.eleganceballet.com,"7676 Woodbine Avenu, Markham,ON ",Unit 12A ,,,,,,,,,,,L3R 2N2,43.829933,-79.354441,(905) 604-6909,,,,,,,active,gold,Adults,Ballet,Kids & Teens,National dance -> Chinese,,,254,,,,,,,,,,,,,,,,
Canadian Dance Unit,Canadian Dance Unit,office@canadiandanceunit.com,http://www.canadiandanceunit.com,"29 McEwan Dr W, Bolton, ON ",,,,,,,,,,,,L7E 1H4,43.857785,-79.718851,(905) 857-5444,,,,,,,active,gold,Acro,Ballet,Jazz,Tap,Contemporary,,255,,,,,,,,,,,,,,,,
Somerville Dance Academy,Somerville Dance Academy,office@sdadance.ca,http://www.somervilledanceacademy.com/,"141 King Rd, Richmond Hill, ON ",,,,,,,,,,,,L4E 3L7,43.942899,-79.459578,(905) 773-7013,,,,,,,active,gold,Ballet,Acro,Contemporary,Kids & Teens,Modern,,256,,,,,,,,,,,,,,,,
Dance With Me Toronto,Dance With Me Toronto,,http://dancewithmetoronto.com/,"7310 Woodbine Avenu, Markham, ON ",,,,,,,,,,,,L3R 1A4,43.821398,-79.351528,(647) 998-4375,,,,,,,active,gold,Salsa,Private lessons,Wedding dance lessons,Tango,Parties,,257,,,,,,,,,,,,,,,,
